 02/28/19 POWER TECHNOLOGIES    100.0 0    0                                100.0
BUS DATA FOLLOWS                    179 ITEMS
   2 CORONADO      1  1  0 0.9852 -24.74  1750.00   -56.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0    1
   3 CHOLLA        1  1  0 0.9865 -15.66     0.00     0.00     0.00    0.00  345.00 0.0000    0.00    0.00  0.0000  0.0000    0    2
   4 CORONADO      1  1  2 1.0400 -18.25   100.00     0.00   800.00   98.17   20.00 1.0400  300.00 -300.00  0.0000  0.0000    4    3
   5 CRAIG         1  1  0 0.9758  16.75  2350.00  -127.00     0.00    0.00  345.00 0.0000    0.00    0.00  0.0000  0.0000    0    4
   6 CRAIG         1  1  2 0.9500  24.03   100.00     0.00  1048.00 -137.79   22.00 0.9500  400.00 -400.00  0.0000  0.0000    6    5
   7 FOURCORN      1  1  0 1.0892  -6.74     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0    6
   8 FOURCORN      1  1  0 1.0212  -3.67   239.00   -56.00     0.00    0.00  345.00 0.0000    0.00    0.00  0.0000  0.0000    0    7
   9 FCNGN4CC      1  1  2 1.0000   3.17   100.00     0.00  2160.00 -237.00   22.00 1.0000  700.00 -500.00  0.0000  0.0000    9    8
  10 FOURCORN      1  1  0 1.0194  -4.20   139.70    23.80     0.00    0.00  230.00 0.0000    0.00    0.00  0.0000  0.0000    0    9
  11 HAYDEN        1  1  2 1.0000  34.19   100.00     0.00  2050.00  460.41   20.00 1.0000  900.00 -900.00  0.0000  0.0000   11   10
  12 NAVAJO        2  1  0 1.0849 -21.72    90.00    70.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   11
  13 NAVAJO 2      2  1  2 1.0000 -15.67   100.00     0.00  1690.00   33.55   26.00 1.0000  700.00 -280.00  0.0000  0.0000   13   12
  14 MOENKOPI      2  1  0 1.0894 -22.76     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000 -3.9100    0   13
  15 PALOVRD2      2  1  2 0.9600 -29.33   100.00     0.00  2640.00  -55.79   24.00 0.9600 1300.00 -900.00  0.0000  0.0000   15   14
  16 PALOVRDE      2  1  0 1.0672 -37.09   793.40   207.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000 -1.4600    0   15
  17 SAN JUAN      1  1  0 1.0424  -2.86   840.00     5.00     0.00    0.00  345.00 0.0000    0.00    0.00  0.0000  3.9000    0   16
  18 SJUAN G4      1  1  2 1.0000   0.11   100.00     0.00   962.00   43.79   22.00 1.0000  300.00 -300.00  0.0000  0.0000   18   17
  19 WESTWING      2  1  0 1.0996 -38.62   617.00   -69.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   18
  20 NAVAJO1       2  1  0 1.0722 -20.57     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   19
  21 NAVAJO2       2  1  0 1.0934 -23.88     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   20
  22 NAVAJO3       2  1  0 1.2071 -39.00     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   21
  23 NAVAJO4       2  1  0 1.0349 -38.61     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   22
  24 MOENKOP1      2  1  0 1.0586 -22.75     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   23
  25 MOENKOP2      2  1  0 1.1407 -22.94     0.00     0.00     0.00    0.00  500.00 0.0000    0.00    0.00  0.0000  0.0000    0   24
